contig	seq_len	map_count	reads_per_kb	will_be_dropped_based_on_reads_per_kb
contig_9	9122	2938	322.0784915588687	False
contig_8	21740	3591	165.17939282428705	False
contig_3	21964	2462	112.09251502458568	False
contig_4	3506	293	83.57102110667428	False
contig_1	4863570	67469	13.872320126984912	False
contig_10	112361	1234	10.982458326287592	False
contig_2	138922	951	6.8455680165848465	True
contig_6	1074	3	2.793296089385475	True
*	0	0		False
